,Unnamed: 0,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall,ranked-f1,ranked-roc,ranked-gmean,combined-rank(divided by 3),combined-rank(undivided)
12,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.8889,0.9489,0.9475,0.9996,0.88,0.898,49.0,47.0,46.0,47.333333333333336,142.0
40,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.8889,0.9489,0.9475,0.9996,0.88,0.898,49.0,47.0,46.0,47.333333333333336,142.0
32,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTEENN ,SMOTEENN,0.8462,0.9488,0.9474,0.9994,0.8,0.898,37.0,45.0,44.0,42.0,126.0
33,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.8224,0.9487,0.9474,0.9993,0.7586,0.898,30.0,44.0,44.0,39.333333333333336,118.0
41,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.86,0.9386,0.9366,0.9995,0.8431,0.8776,44.0,35.0,35.0,38.0,114.0
13,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.86,0.9386,0.9366,0.9995,0.8431,0.8776,44.0,35.0,35.0,38.0,114.0
23,LogisiticRegression,LogisticRegression, LogisticRegression+SVMSMOTE ,SVMSMOTE,0.2004,0.9529,0.9523,0.9874,0.1125,0.9184,9.0,49.0,49.0,35.666666666666664,107.0
3,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.1364,0.9492,0.9487,0.98,0.0736,0.9184,7.0,48.0,48.0,34.333333333333336,103.0
27,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.8571,0.9284,0.9257,0.9995,0.8571,0.8571,42.0,29.0,29.0,33.333333333333336,100.0
26,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SVMSMOTE ,SVMSMOTE,0.8571,0.9284,0.9257,0.9995,0.8571,0.8571,42.0,29.0,29.0,33.333333333333336,100.0
6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.1295,0.9486,0.9481,0.9788,0.0697,0.9184,6.0,43.0,47.0,32.0,96.0
34,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTEENN ,SMOTEENN,0.8113,0.9385,0.9365,0.9993,0.7544,0.8776,28.0,33.0,33.0,31.333333333333332,94.0
25,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.84,0.9284,0.9257,0.9994,0.8235,0.8571,34.0,29.0,29.0,30.666666666666668,92.0
20,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8632,0.9183,0.9147,0.9995,0.8913,0.8367,46.0,23.0,23.0,30.666666666666668,92.0
19,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8632,0.9183,0.9147,0.9995,0.8913,0.8367,46.0,23.0,23.0,30.666666666666668,92.0
44,LogisiticRegression,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.1216,0.9478,0.9474,0.9772,0.0651,0.9184,5.0,42.0,44.0,30.333333333333332,91.0
24,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SVMSMOTE ,SVMSMOTE,0.8317,0.9284,0.9257,0.9994,0.8077,0.8571,31.0,29.0,29.0,29.666666666666668,89.0
37,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.11599999999999999,0.9472,0.9468,0.9759,0.0619,0.9184,4.0,41.0,41.0,28.666666666666668,86.0
9,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.11599999999999999,0.9472,0.9468,0.9759,0.0619,0.9184,4.0,41.0,41.0,28.666666666666668,86.0
1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.3321,0.946,0.9447,0.9938,0.2037,0.898,10.0,38.0,38.0,28.666666666666668,86.0
31,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTEENN ,SMOTEENN,0.7107,0.9383,0.9363,0.9988,0.5972,0.8776,19.0,32.0,32.0,27.666666666666668,83.0
30,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.1128,0.9468,0.9464,0.9751,0.0601,0.9184,2.0,39.0,39.0,26.666666666666668,80.0
16,LogisiticRegression,LogisticRegression, LogisticRegression+BorderlineSMOTE ,BorderlineSMOTE,0.1973,0.9428,0.9417,0.9874,0.1108,0.898,8.0,36.0,36.0,26.666666666666668,80.0
39,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTETomek ,SMOTETomek,0.8454,0.9182,0.9146,0.9995,0.8542,0.8367,36.0,21.0,21.0,26.0,78.0
11,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.8454,0.9182,0.9146,0.9995,0.8542,0.8367,36.0,21.0,21.0,26.0,78.0
29,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.5443,0.9376,0.9357,0.9975,0.3945,0.8776,14.0,31.0,31.0,25.333333333333332,76.0
17,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8367,0.9182,0.9146,0.9994,0.8367,0.8367,33.0,21.0,21.0,25.0,75.0
38,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.7568,0.9282,0.9255,0.9991,0.6774,0.8571,25.0,25.0,25.0,25.0,75.0
10,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.7568,0.9282,0.9255,0.9991,0.6774,0.8571,25.0,25.0,25.0,25.0,75.0
5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.0976,0.9446,0.9443,0.9708,0.0515,0.9184,1.0,37.0,37.0,25.0,75.0
45,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.8367,0.9182,0.9146,0.9994,0.8367,0.8367,33.0,21.0,21.0,25.0,75.0
28,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.4971,0.9374,0.9354,0.9969,0.3468,0.8776,11.0,30.0,30.0,23.666666666666668,71.0
46,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8791,0.9081,0.9035,0.9996,0.9524,0.8163,47.0,11.0,11.0,23.0,69.0
48,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8511,0.9081,0.9034,0.9995,0.8889,0.8163,40.0,11.0,10.0,20.333333333333332,61.0
18,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8511,0.9081,0.9034,0.9995,0.8889,0.8163,40.0,11.0,10.0,20.333333333333332,61.0
22,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.7523,0.9179999999999999,0.9144,0.9991,0.6833,0.8367,22.0,17.0,17.0,18.666666666666668,56.0
21,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.7387,0.9179999999999999,0.9144,0.9990000000000001,0.6613,0.8367,21.0,17.0,17.0,18.333333333333332,55.0
47,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.8478,0.8979,0.8921,0.9995,0.907,0.7959,38.0,5.0,5.0,16.0,48.0
35,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5467,0.9173,0.9138,0.9976,0.4059,0.8367,16.0,15.0,15.0,15.333333333333334,46.0
