,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
*No Sampling*,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.5405,0.8569,0.845,0.9994,0.4348,0.7143
*No Sampling*,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.0297,0.9146,0.9128,0.972,0.0151,0.8571
*No Sampling*,LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.7826,0.8214,0.8018,0.9998,1.0,0.6429
*No Sampling*,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.0133,0.9299,0.9299,0.9312,0.0067,0.9286
*No Sampling*,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.72,0.8214,0.8018,0.9997,0.8182,0.6429
*No Sampling*,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.0094,0.9155,0.9154,0.9025,0.0047,0.9286
*No Sampling*,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.0125,0.9604,0.9595,0.9207,0.0063,1.0
*SMOTE*,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5467,0.9173,0.9138,0.9976,0.4059,0.8367
*SMOTE*,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.543,0.9173,0.9138,0.9976,0.402,0.8367
*SMOTE*,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.116,0.9472,0.9468,0.9759,0.0619,0.9184
*SMOTE*,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.7568,0.9282,0.9255,0.9991,0.6774,0.8571
*SMOTE*,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.8454,0.9182,0.9146,0.9995,0.8542,0.8367
*SMOTE*,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.8889,0.9489,0.9475,0.9996,0.88,0.898
*SMOTE*,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.86,0.9386,0.9366,0.9995,0.8431,0.8776
*SimpleOverSampling*,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.5,0.7855,0.7558,0.9994,0.4444,0.5714
*SimpleOverSampling*,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.4848,0.7855,0.7558,0.9994,0.4211,0.5714
