,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
No Sampling,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.7048,0.8772,0.8687,0.9989,0.6607,0.7551
No Sampling,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.3321,0.946,0.9447,0.9938,0.2037,0.898
No Sampling,LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.6829,0.7856,0.7559,0.9991,0.8485,0.5714
No Sampling,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.1364,0.9492,0.9487,0.98,0.0736,0.9184
No Sampling,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.8222,0.8775,0.8689,0.9994,0.9024,0.7551
No Sampling,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.0976,0.9446,0.9443,0.9708,0.0515,0.9184
No Sampling,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.1295,0.9486,0.9481,0.9788,0.0697,0.9184
SMOTE,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5467,0.9173,0.9138,0.9976,0.4059,0.8367
SMOTE,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.543,0.9173,0.9138,0.9976,0.402,0.8367
SMOTE,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.116,0.9472,0.9468,0.9759,0.0619,0.9184
SMOTE,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.7568,0.9282,0.9255,0.9991,0.6774,0.8571
SMOTE,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.8454,0.9182,0.9146,0.9995,0.8542,0.8367
SMOTE,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.8889,0.9489,0.9475,0.9996,0.88,0.898
