,Unnamed: 0,Unnamed: 1,Unnamed: 0.1,classifier,strategy,samp_technique,f1,roc_auc,g_mean,ranked-f1,ranked-gmean,ranked-roc,combined-rank(divided by 3),combined-rank(undivided)
27,BorderlineSmote,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7957,0.8774,0.8688,48.0,40.0,41.0,43.0,129.0
26,BorderlineSmote,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7957,0.8774,0.8688,48.0,40.0,41.0,43.0,129.0
46,SMOTE-Tomek,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTETomek ,SMOTETomek,0.7872,0.8773,0.8688,44.0,40.0,39.0,41.0,123.0
33,SVM-Smote,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SVMSMOTE ,SVMSMOTE,0.7872,0.8773,0.8688,44.0,40.0,39.0,41.0,123.0
11,SMOTE,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.7872,0.8773,0.8688,44.0,40.0,39.0,41.0,123.0
13,SMOTE,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.7789,0.8773,0.8688,40.0,40.0,39.0,39.666666666666664,119.0
12,SMOTE,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.7789,0.8773,0.8688,40.0,40.0,39.0,39.666666666666664,119.0
48,SMOTE-Tomek,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.7789,0.8773,0.8688,40.0,40.0,39.0,39.666666666666664,119.0
47,SMOTE-Tomek,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.7789,0.8773,0.8688,40.0,40.0,39.0,39.666666666666664,119.0
41,SMOTE-EN,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTEENN ,SMOTEENN,0.7789,0.8773,0.8688,40.0,40.0,39.0,39.666666666666664,119.0
25,BorderlineSmote,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8276,0.8673,0.8571,49.0,29.0,29.0,35.666666666666664,107.0
6,No Sampling,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.1758,0.8985,0.8947,8.0,49.0,49.0,35.333333333333336,106.0
32,SVM-Smote,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.7912,0.8672,0.857,46.0,28.0,28.0,34.0,102.0
19,SimpleOverSampling,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.7912,0.8672,0.857,46.0,28.0,28.0,34.0,102.0
16,SimpleOverSampling,2,LogisiticRegression,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.1643,0.8977,0.894,5.0,48.0,48.0,33.666666666666664,101.0
30,SVM-Smote,2,LogisiticRegression,LogisticRegression, LogisticRegression+SVMSMOTE ,SVMSMOTE,0.2438,0.8918,0.8867,10.0,44.0,44.0,32.666666666666664,98.0
9,SMOTE,2,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.1572,0.8971,0.8934,4.0,47.0,47.0,32.666666666666664,98.0
44,SMOTE-Tomek,2,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.1572,0.8971,0.8934,4.0,47.0,47.0,32.666666666666664,98.0
23,BorderlineSmote,2,LogisiticRegression,LogisticRegression, LogisticRegression+BorderlineSMOTE ,BorderlineSMOTE,0.2261,0.8912,0.8861,9.0,43.0,43.0,31.666666666666668,95.0
37,SMOTE-EN,2,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.1527,0.8967,0.8931,2.0,45.0,45.0,30.666666666666668,92.0
