,,Unnamed: 0,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
No Sampling,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.68,0.8465,0.8326,0.9983,0.6667,0.6939
No Sampling,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.1667,0.6004,0.451,0.9947,0.1408,0.2041
No Sampling,2,LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.7209,0.8162,0.7953,0.9987,0.8378,0.6327
No Sampling,3,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.1707,0.8882,0.8834,0.9801,0.0956,0.7959
No Sampling,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.7742,0.8671,0.857,0.9989,0.8182,0.7347
No Sampling,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.131,0.8747,0.8691,0.9735,0.0716,0.7755
No Sampling,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.1758,0.8985,0.8947,0.9803,0.0985,0.8163
SMOTE,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5455,0.8661,0.8561,0.9968,0.4337,0.7347
SMOTE,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.5496,0.8661,0.8561,0.9969,0.439,0.7347
SMOTE,2,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.1572,0.8971,0.8934,0.9774,0.087,0.8163
SMOTE,3,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.7129,0.8669,0.8568,0.9985,0.6923,0.7347
SMOTE,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.7872,0.8773,0.8688,0.9989,0.8222,0.7551
SMOTE,5,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
SMOTE,6,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
SimpleOverSampling,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.7273,0.867,0.8568,0.9986,0.72,0.7347
SimpleOverSampling,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.7216,0.8568,0.8449,0.9986,0.7292,0.7143
SimpleOverSampling,2,LogisiticRegression,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.1643,0.8977,0.894,0.9786,0.0913,0.8163
