Unnamed: 0,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.8298,0.8976,0.8919,0.9983,0.8667,0.7959
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.5507,0.8851,0.8783,0.9935,0.42700000000000005,0.7755
LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.8276,0.8672,0.8571,0.9984,0.9474,0.7347
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.2961,0.9481,0.9476,0.9775,0.1765,0.9184
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.8736,0.8878,0.8806,0.9988,1.0,0.7755
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.299,0.9483,0.9478,0.9779,0.1786,0.9184
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.3061,0.9486,0.9481,0.9786,0.1837,0.9184
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5985,0.9159,0.9125,0.9942,0.4659,0.8367
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.5926,0.9057,0.9013,0.9942,0.4651,0.8163
LogisiticRegression,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.3151,0.9590000000000001,0.9588,0.9790000000000001,0.1893,0.9388
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.78,0.8973,0.8916,0.9977,0.7647,0.7959
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.8913,0.9183,0.9146,0.9990000000000001,0.9535,0.8367
