,Unnamed: 0,classifier,strategy,samp_technique,f1,roc_auc,g_mean,ranked-f1,ranked-roc,ranked-gmean,combined-rank(divided by 3),combined-rank(undivided)
48,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9387,0.9367,49.0,41.0,41.0,43.666666666666664,131.0
47,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9387,0.9367,49.0,41.0,41.0,43.666666666666664,131.0
13,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.9247,0.9387,0.9367,49.0,41.0,41.0,43.666666666666664,131.0
12,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.9247,0.9387,0.9367,49.0,41.0,41.0,43.666666666666664,131.0
41,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTEENN ,SMOTEENN,0.9149,0.9387,0.9367,44.0,41.0,41.0,42.0,126.0
32,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.9231,0.9286,0.9258,45.0,35.0,35.0,38.333333333333336,115.0
40,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.9053,0.9386,0.9366,41.0,36.0,36.0,37.666666666666664,113.0
34,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.913,0.9285,0.9258,43.0,34.0,35.0,37.333333333333336,112.0
16,LogisiticRegression,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.3297,0.9597,0.9595,9.0,49.0,49.0,35.666666666666664,107.0
26,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.9111,0.9184,0.9147,42.0,32.0,32.0,35.333333333333336,106.0
9,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.3151,0.959,0.9588,7.0,48.0,48.0,34.333333333333336,103.0
44,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.3151,0.959,0.9588,7.0,48.0,48.0,34.333333333333336,103.0
33,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SVMSMOTE ,SVMSMOTE,0.9011,0.9183,0.9147,40.0,31.0,32.0,34.333333333333336,103.0
39,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTEENN ,SMOTEENN,0.8913,0.9183,0.9146,38.0,31.0,30.0,33.0,99.0
46,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTETomek ,SMOTETomek,0.8913,0.9183,0.9146,38.0,31.0,30.0,33.0,99.0
