,,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,ranked-f1,ranked-roc,ranked-gmean,combined-rank(divided by 3),combined-rank(undivided)
pipe2,SMOTE-Tomek,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.8889,0.9489,0.9475,133.0,142.0,138.0,137.66666666666666,413.0
pipe2,SMOTE,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.8889,0.9489,0.9475,133.0,142.0,138.0,137.66666666666666,413.0
pipe4,SMOTE-Tomek,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9387,0.9367,147.0,125.0,125.0,132.33333333333334,397.0
pipe4,SMOTE-Tomek,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9387,0.9367,147.0,125.0,125.0,132.33333333333334,397.0
pipe4,SMOTE,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.9247,0.9387,0.9367,147.0,125.0,125.0,132.33333333333334,397.0
pipe4,SMOTE,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.9247,0.9387,0.9367,147.0,125.0,125.0,132.33333333333334,397.0
pipe4,SMOTE-EN,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTEENN ,SMOTEENN,0.9149,0.9387,0.9367,142.0,125.0,125.0,130.66666666666666,392.0
pipe2,SMOTE-EN,4,RandomForestClassifier, RandomForestClassifier+SMOTEENN ,SMOTEENN,0.8462,0.9488,0.9474,113.0,140.0,136.0,129.66666666666666,389.0
pipe4,SMOTE-EN,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.9053,0.9386,0.9366,139.0,120.0,120.0,126.33333333333333,379.0
pipe2,SMOTE-EN,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.8224,0.9487,0.9474,102.0,139.0,136.0,125.66666666666667,377.0
pipe4,SVM-Smote,4,RandomForestClassifier, RandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.9231,0.9286,0.9258,143.0,113.0,113.0,123.0,369.0
pipe4,SVM-Smote,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.9129999999999999,0.9285,0.9258,141.0,112.0,113.0,122.0,366.0
pipe2,SMOTE,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.86,0.9386,0.9366,120.0,120.0,120.0,120.0,360.0
pipe2,SMOTE-Tomek,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.86,0.9386,0.9366,120.0,120.0,120.0,120.0,360.0
pipe4,BorderlineSmote,5,EasyEnsembleClassifier, EasyEnsembleClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.9111,0.9184,0.9147,140.0,104.0,104.0,116.0,348.0
pipe4,SVM-Smote,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SVMSMOTE ,SVMSMOTE,0.9011,0.9183,0.9147,138.0,103.0,104.0,115.0,345.0
pipe2,SVM-Smote,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SVMSMOTE ,SVMSMOTE,0.8571,0.9284,0.9257,118.0,111.0,111.0,113.33333333333333,340.0
pipe2,SVM-Smote,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.8571,0.9284,0.9257,118.0,111.0,111.0,113.33333333333333,340.0
